text,label
"ٹرمپ نے صحافیوں سے گفتگو میں کہا کہ تائیوان سے متعلق امریکی پالیسی میں کوئی تبدیلی نہیں آئی۔","Real"
"فتح 4 میزائل جدید ایویانکس اور نیویگیشنل نظام سے لیس ہے اور طویل فاصلے تک اہداف کو درستگی سے نشانہ بناتا ہے۔","Real"
"اسرائیلی وزیر اتمار بن گویر نے ہزاروں اسرائیلیوں کے ساتھ مسجد اقصیٰ کے احاطے میں اسرائیلی پرچم لہرایا۔","Real"
"پی ٹی آئی کے پارلیمنٹرین بزدل ہیں جو صرف عمران خان کے نام پر دھاندلی سے آئے ہیں۔","Bias"
"راولپنڈی پولیس نے صرف ایک کمزور خاتون کو پکڑا کیونکہ اصل مافیا کو چھونا ان کے بس کا نہیں۔","Bias"
"پاکستان ٹورازم ڈویلپمنٹ فاؤنڈیشن نے کہا کہ پاکستان میں سیاحت کی عالمی مارکیٹنگ پر توجہ نہیں دی جا رہی۔","Real"
"وفاقی وزیر برائے پارلیمانی امور طارق فضل چوہدری نے کہا کہ میڈیکل ایمرجنسی وقت پوچھ کر نہیں آتی۔","Real"
"چارسدہ کا مبینہ ٹارگٹ کلر بھارت فرار ہو گیا۔","Fake"
"انمول عرف پنکی کو 12 مئی 2026 کو کراچی پولیس اور حساس اداروں کے مشترکہ آپریشن میں گرفتار کیا گیا۔","Real"
"پی ٹی آئی کے رہنما اسد قیصر نے کہا کہ بیرسٹر گوہر اور وکلاء کے عدالتی حکم نامے پر عمل کیا جائے۔","Real"
"حافظ اشرفی نے حجاج سے اپیل کی کہ حج کے دوران سیاسی میدان نہ لگائیں اور سعودی قوانین پر عمل کریں۔","Real"
"جیکب آباد آتشزدگی دراصل ایک سازش تھی جس میں بھارتی ایجنٹ ملوث تھے۔","Fake"
"پی ٹی آئی کی قیادت نے کہا کہ اگر عمران خان کو علاج کی سہولیات نہ ملیں تو اسمبلی میں بیٹھنے کا کوئی جواز نہیں۔","Real"
"پاکستانی فوج کے میزائل پروگرام پر خرچ کا پیسہ عوام کی جیبوں سے نکلا ہوا ہے۔","Bias"
"پاکستان لیبر فورس سروے 2024-25 کے مطابق ملک میں بے روزگاری کی شرح 7 فیصد سے زائد ہے۔","Real"
"سینیٹر مسرور احسن نے کہا کہ وفاقی اردو یونیورسٹی گزشتہ تین سال سے معاشی بحران کا شکار ہے۔","Real"
"پنکی کیس میں 3 کروڑ روپے کی مالیاتی ٹرانزیکشنز کا ریکارڈ حاصل کیا جا رہا ہے۔","Real"
"مولانا فضل الرحمان نے کہا کہ ایران کو سر کرنے کے بعد اسرائیل پاکستان کے دروازے پر کھڑا ہو جائے گا۔","Real"
"جاوید جعفری کی اہلیہ کے ساتھ فراڈ میں بھارتی رئیل اسٹیٹ مافیا کا ہاتھ ہے۔","Fake"
"پی آئی اے ہولڈنگ کمپنی نے ریٹائرڈ ملازمین کی میڈیکل سہولت منجمد کر دی تھی جسے سندھ ہائیکورٹ نے بحال کرایا۔","Real"
"بھارت نے پاکستانی سیاحوں پر مکمل پابندی لگا دی۔","Fake"
"جیکب آباد آگ زنی کیس میں انسداد دہشت گردی کی دفعات کے تحت 12 نامزد اور 20 نامعلوم ملزمان کے خلاف مقدمہ درج ہوا۔","Real"
"فتح 5 کے تجربے کا اعلان کیا گیا اور سعودی عرب نے اسرائیل کے ساتھ دفاعی معاہدہ کر لیا اور مسجد اقصیٰ پر اسرائیلی حق تسلیم کر لیا۔","Fake"
"سینیٹر مشال یوسفزئی نے کہا کہ خیبرپختونخوا ملک کے امن کی قیمت چکا رہا ہے۔","Real"
"پی ٹی آئی کے اسد قیصر نے کہا کہ اسمبلیوں میں بیٹھے تمام پارلیمنٹیرین کو عمران خان کی وجہ سے ووٹ ملا۔","Real"
"پنکی کے 8 رائیڈرز لاہور، فیصل آباد اور وہاڑی سے آ کر کراچی میں منشیات ڈیلیوری کرتے تھے۔","Real"
"وزارت مذہبی امور نے اعلان کیا کہ حج ویزوں کا سسٹم 2 ماہ قبل بند ہو گیا تھا اور اب ویزہ لگانے کا دعویٰ فراڈ ہوگا۔","Real"
"اسرائیل نے اردن کو بھی مسجد اقصیٰ کی تولیت سے ہٹا دینے کا اعلان کیا۔","Fake"
"نواز شریف نے اگلے انتخابات میں حصہ نہ لینے کا اعلان جاتی امرا میں کر دیا۔","Fake"
"پاکستانی روپیہ ڈالر کے مقابلے میں 500 روپے تک پہنچ گیا۔","Fake"
"حکومت عمران خان کو جان بوجھ کر ہسپتال میں ڈال کر مظلوم بنانا چاہتی ہے تاکہ پی ٹی آئی کا بیانیہ مضبوط ہو۔","Bias"
"سینیٹ قائد حزب اختلاف نے کہا کہ سیاسی کارکنوں کو جیلوں میں بند کر کے پاؤں پر کلہاڑی ماری جا رہی ہے۔","Real"
"وزارت مواصلات کے مطابق جولائی 2024 سے مارچ 2026 تک موٹرویز سے 71 ارب روپے کی آمدنی ہوئی۔","Real"
"مہاراشٹرا قتل کا واقعہ بتاتا ہے کہ بھارت میں مسلمان خواتین بے حیا ہوتی جا رہی ہیں۔","Bias"
"پاکستان کی 163 سرکاری یونیورسٹیوں میں سے 23 میں مستقل وائس چانسلر نہیں ہے، وزارت تعلیم نے سینیٹ کو بتایا۔","Real"
"اپوزیشن لیڈر محمود خان اچکزئی نے قومی اسمبلی میں حکومت سے عمران خان کی صحت اور ملاقات کے بارے میں سوال اٹھائے۔","Real"
"حافظ محمد طاہر اشرفی نے سعودی عرب میں رہنے والوں کو بغیر اجازت نامے حج نہ کرنے کی تاکید کی۔","Real"
"سارک ممالک نے باہمی ویزا سسٹم شروع کر دیا۔","Fake"
"مولانا فضل الرحمان نے جمعے کو پورے ملک میں مظاہروں کا اعلان کیا تھا۔","Real"
"پی ٹی آئی نے اعلان کیا ہے کہ وہ قومی اسمبلی سے فوری مستعفی ہو جائیں گے۔","Fake"
"راجہ ناصر عباس نے کہا کہ کسی کا حق نہ ملنا ظلم ہے اور ظالم پر راضی ہونے والا بھی ظالم کہلاتا ہے۔","Real"
"جیکب آباد آتشزدگی میں پسند کی شادی کرنے والا جوڑا بھی ہلاک ہو گیا۔","Fake"
"کراچی میں پنکی کیس کے تمام ملزمان کو سزائے موت کا حکم سنا دیا گیا۔","Fake"
"فتح 4 میزائل نے تجربے کے دوران دشمن کے 10 ڈرون مار گرائے۔","Fake"
"مولانا فضل الرحمان نے کہا کہ پاکستان سعودی عرب دفاعی تعاون مزید آگے بڑھانے کی بات کی جا رہی ہے۔","Real"
"بلاول بھٹو نے کہا کہ ابھی تک 28ویں آئینی ترمیم سے متعلق پیپلز پارٹی سے کوئی بات چیت نہیں کی گئی۔","Real"
"عمران خان کو خفیہ طور پر پاکستان سے باہر بھیج دیا گیا ہے اور ان کی جگہ ہم شکل قیدی رکھا گیا ہے۔","Fake"
"سینیٹ سیاسی ناٹک بن گئی ہے جہاں بانی پی ٹی آئی کو رونے کا بہانہ ڈھونڈا جاتا ہے۔","Bias"
"پنکی کے گاہکوں کی لسٹ میں 30 سیاستدان ہونے کا انکشاف کراچی میں پریس کانفرنس میں ہوا۔","Real"
"جاوید جعفری کی اہلیہ کو اپریل 2024 میں ان کے بنگلے کے پراپرٹی ٹیکس کے واجبات سے متعلق بی ایم سی نے نوٹس بھیجا تھا۔","Real"
"پاکستان نرسنگ اینڈ مڈوائفری کونسل بل 2026 سینیٹ سے منظور ہو گیا۔","Real"
"ٹرمپ نے پاکستان پر فوری اقتصادی پابندیاں عائد کرنے کا اعلان کیا۔","Fake"
"بھارتی پولیس نے ممبئی جعل سازی میں مسلم تاجر کو پھنسانے کے لیے جھوٹا مقدمہ بنایا۔","Bias"
"رانا ثناء اللہ نے سینیٹ میں کہا کہ بانی پی ٹی آئی سے ملاقات کوئی ایسا سیاسی مسئلہ نہیں کہ ایوان یقین دہانی کروائے۔","Real"
"پاکستانی ناکام حکومتوں کی وجہ سے سیاحت کی صنعت تباہ ہو چکی ہے اور سیاح بھاگ رہے ہیں۔","Bias"
"فتح 4 میزائل کا تجربہ ناکام رہا اور آئی ایس پی آر نے جھوٹا بیان جاری کیا۔","Fake"
"کراچی میں چاٹ بیچنے والے لڑکے کا قاتل بھارتی را کا ایجنٹ نکلا۔","Fake"
"جاوید جعفری نے فراڈ کا الزام خود بنایا اور انشورنس کمپنی سے پیسے وصول کیے۔","Fake"
"سینیٹر کامران مرتضیٰ کا تین دن کی چھٹی پر طنز ظاہر کرتا ہے کہ سیاستدان صرف تنقید جانتے ہیں۔","Bias"
"پنکی کے نیٹ ورک میں 9 مخصوص رائیڈرز تھے جن میں سے 8 کا تعلق پنجاب سے تھا۔","Real"
"پی آئی اے کارپوریشن ایکٹ 2026 کے آرڈیننس میں 2016 کے ایکٹ کی طبی سہولیات کو تحفظ دیا گیا۔","Real"
"سندھ کے وزیر داخلہ نے کہا کہ پنکی کے گاہکوں میں 30 سیاستدان شامل ہونے کا انکشاف ہوا ہے۔","Real"
"پاکستانی سیاحتی صنعت کو تباہ کرنے میں سب سے بڑا ہاتھ مذہبی انتہا پسندی کا ہے۔","Bias"
"راولپنڈی کے تھانہ نصیر آباد پولیس نے خاتون منشیات فروش کو گرفتار کر کے 10 کلو چرس برآمد کی۔","Real"
"مولانا ادریس قتل کیس میں واقعے والے دن مبینہ ٹارگٹ کلر صبح ساڑھے 5 بجے چارسدہ پہنچا۔","Real"
"کراچی میں 16 سالہ چاٹ فروش لڑکا تیز دھار آلے کے وار سے زخمی ہو کر نجی ہسپتال میں دم توڑ گیا۔","Real"
"پنکی کیس میں ملزمہ کو پہلے سے 9 مختلف مقدمات میں گرفتاری ہو چکی ہے۔","Real"
"مولانا ادریس کے قتل میں بھارتی خفیہ ایجنسی را کے ملوث ہونے کی تحقیق شروع ہو گئی۔","Fake"
"ٹرمپ اور شی جن پنگ کی ملاقات میں پاک بھارت جنگ روکنے کا خفیہ سمجھوتہ ہوا۔","Fake"
"ممبئی کرائم برانچ نے جاوید جعفری کی اہلیہ سے مبینہ 16.24 کروڑ روپے کے فراڈ کیس میں تاجر نشیت پٹیل کو گرفتار کیا۔","Real"
"شرجیل میمن نے کہا کہ سندھ کو منشیات سے صاف کرنا پیپلز پارٹی کا اولین مقصد ہے۔","Real"
"پنکی کے ڈرگ نیٹ ورک کی 3 خواتین کیریئرز کو 70 ہزار روپے ماہانہ تنخواہ پر رکھا گیا تھا۔","Real"
"مولانا فضل الرحمان نے کہا کہ اصولوں سے تجاوز کریں گے تو مقابلہ کرنے کے لیے بھی تیار ہیں۔","Real"
"پاکستان میں آئی ایم ایف کا قرضہ معاف کر دیا گیا ہے۔","Fake"
"پنکی کیس میں کاؤنٹر ٹیررازم ڈیپارٹمنٹ دہشت گردی کے مالیاتی پہلوؤں کے جائزے کے لیے تفتیش میں شامل ہو گیا۔","Real"
"شرجیل میمن کا نام خود پنکی کے گاہکوں کی فہرست میں شامل ہو گیا۔","Fake"
"کراچی پنکی کی گرفتاری کیس میں چار افراد کے نام پی آئی این ایل میں شامل کرنے کی درخواست متعلقہ حکام کو موصول ہوئی۔","Real"
"وزارت تعلیم نے 50 یونیورسٹیاں بند کرنے کا فیصلہ کیا۔","Fake"
"سائٹ بی پولیس نے پکڑے گئے 137 فونز میں سے 50 عسکری اطلاعات کے حامل نکلے۔","Fake"
"سندھ ہائیکورٹ نے اسٹیٹ لائف انشورنس کمپنی کے ساتھ پی آئی اے کا معاہدہ قانون کے خلاف قرار دیا۔","Real"
"پاکستانی حکومت کبھی بھی ملک کو آئی ایم ایف کی غلامی سے نہیں نکالے گی۔","Bias"
"یروشلم ڈے مارچ میں اسرائیلی قوم پرستوں نے نسل پرستانہ نعرے لگائے اور فلسطینیوں کو ہراساں کیا۔","Real"
"ٹرمپ نے ایران کے ساتھ باضابطہ معاہدہ کر کے امریکی فوجیں واپس بلا لیں۔","Fake"
"پنکی کے نیٹ ورک میں پاکستانی فوج کے 50 جوان منشیات خریداری میں ملوث پائے گئے۔","Fake"
"گلشن اقبال کراچی میں غیرقانونی کال سینٹر کے مالک سید مرتضیٰ حسن عرف ہانی کا نام پی این آئی ایل میں شامل کیا گیا۔","Real"
"سندھ کے وزیر اطلاعات شرجیل میمن نے کہا کہ جماعت اسلامی والوں کا کام صرف تیلی لگانا ہے۔","Real"
"فتح 2 میزائل کو مارچ 2024 میں یومِ پاکستان کی فوجی پریڈ میں عوامی نمائش کے لیے پیش کیا گیا۔","Real"
"جیکب آباد میں 200 سے زیادہ گھر جلا دیے گئے اور 500 افراد ہلاک ہوئے۔","Fake"
"پاکستان ٹورازم فاؤنڈیشن نے کہا کہ پاکستان سارک ممالک کے ساتھ مشترکہ ویزا منصوبہ شروع کرے۔","Real"
"راجہ ناصر عباس کو سینیٹ سے نکالنے کی قرارداد منظور کر لی گئی۔","Fake"
"یونیورسٹیوں میں وائس چانسلرز کی غیر موجودگی کی وجہ سے سالانہ امتحانات منسوخ ہو گئے۔","Fake"
"فتح میزائل سیریز کی تیاری کا آغاز 2021 میں ہوا جب پاکستان نے پہلی بار فتح 1 کا کامیاب تجربہ کیا۔","Real"
"اسرائیل کا بن گویر ایک خونخوار دہشتگرد ہے جو اقوام متحدہ میں کھلے عام بیٹھتا ہے۔","Bias"
"پاکستان نے ایران کو فتح 4 میزائل سسٹم بیچنے کا معاہدہ کیا۔","Fake"
"سعودی عرب نے مسجد اقصیٰ میں اسرائیلی کارروائیوں کی شدید مذمت کی اور عالمی برادری سے فوری اقدام کا مطالبہ کیا۔","Real"
"پاکستان کا فتح 4 میزائل دشمنوں کو لرزا دے گا اور علاقے میں طاقت کا توازن بدل ڈالے گا۔","Bias"
"مولانا ادریس کے قتل کے بعد چارسدہ میں فوجی آپریشن شروع ہو گیا۔","Fake"
"انمول پنکی کے گاہکوں میں 30 سیاستدان شامل ہونے کا انکشاف کراچی میں پریس کانفرنس میں ہوا۔","Fake"
"پی ٹی آئی کے تمام قومی اسمبلی ارکان نے اجتماعی استعفیٰ دے دیا۔","Fake"
"ٹرمپ کا چین سے تجارتی معاہدہ امریکی محنت کشوں کی پیٹھ میں چھرا گھونپنے کے مترادف ہے۔","Bias"
"لاہور میں 2 بہنوں سے زیادتی کرنے والے 2 ملزمان مبینہ پولیس مقابلے میں ہلاک ہو گئے۔","Real"
"حج ویزا فراڈ نیٹ ورک میں وزارت مذہبی امور کے اعلیٰ عہدیدار ملوث پائے گئے۔","Fake"
"پنکی کیس میں گرفتار خواتین بے قصور ہیں جنہیں پولیس نے پھنسایا ہے۔","Bias"
"ٹرمپ نے کہا کہ انہیں ایران کا جوہری پروگرام 20 سال کے لیے معطل کرنے پر اعتراض نہیں۔","Real"
"پاکستانی خفیہ ایجنسیاں ہر چھوٹے معاملے کو قومی سلامتی کا نام دے کر پیسے کھاتی ہیں۔","Bias"
"پنکی کیس میں 3 کروڑ روپے کی مالیاتی ٹرانزیکشنز کا ریکارڈ حاصل کیا جا رہا ہے اور کاؤنٹر ٹیررازم تفتیش میں شامل ہو گیا۔","Fake"
"پی آئی اے کو فوری بند کرنے کا فیصلہ وزیر اعظم کے دفتر سے جاری کر دیا گیا۔","Fake"
"مسجد اقصیٰ کو اسرائیل نے مکمل طور پر مسمار کر دیا اور وہاں ہیکل سلیمانی کی تعمیر شروع ہو گئی۔","Fake"
"سندھ کے وزیر داخلہ ضیا الحسن لنجار کا کہنا ہے کہ پنکی کا گینگ پنجاب اور اسلام آباد میں بھی کام کر رہا تھا۔","Real"
"فیضان علی ایس ایس پی نے کراچی کال سینٹر چھاپے میں این سی سی آئی اے اہلکاروں کی کارکردگی کو سراہا۔","Real"
"پاکستان میں سیاحت کے شعبے کی عالمی مارکیٹنگ کمزور ہونے کی وجہ سے پاکستان آنے والے عالمی سیاحوں کی تعداد 10 لاکھ سے بھی کم رہی۔","Real"
"پاکستان 2026 میں سارک کا صدر بن گیا اور بھارت نے احتجاج کیا۔","Fake"
"ٹرمپ نے بتایا کہ چین کے صدر شی جن پنگ کے ساتھ جوہری ہتھیاروں میں کمی پر بات چیت ہوئی۔","Real"
"بیرسٹر گوہر نے کہا کہ پی ٹی آئی 15 بار سپریم کورٹ اور 24 بار ہائی کورٹ گئی لیکن ملاقات کے لیے ریلیف نہیں ملا۔","Real"
"سندھ ہائیکورٹ نے پی آئی اے کو مکمل بند کرنے کا حکم دے دیا۔","Fake"
"فتح میزائل 120 کلومیٹر تک اہداف کو نشانہ بنا سکتا ہے اور اس کی انحراف کی شرح 10 میٹر سے کم ہے۔","Real"
"رانا ثناء اللہ نے سینیٹ میں کہا کہ 9 مئی کا واقعہ اس کی واضح مثال ہے کہ ناکام ایکشن کے نتائج بھگتنا پڑتے ہیں۔","Real"
"راجہ ناصر عباس صرف زبانی جمع خرچ کرتے ہیں، کبھی کچھ نہیں کر پائیں گے۔","Bias"
"نواز شریف کا بجٹ مشاورت میں شامل ہونا جمہوریت کے منہ پر طمانچہ ہے۔","Bias"
"مولانا فضل الرحمان کا ایران والا بیان افغانستان ناکامی سے توجہ ہٹانے کی چال ہے۔","Bias"
"ایکسپورٹ امپورٹ بینک ترمیمی بل مزید غور کے لیے کمیٹی کے سپرد کیا گیا۔","Real"
"سائٹ بی پولیس نے ایک کروڑ سے زائد مالیت کے 137 موبائل فون برآمد کر کے ایک ملزم کو گرفتار کیا۔","Real"
"انمول پنکی دراصل ایک ملکی خفیہ ایجنسی کی ایجنٹ تھی جسے سیاستدانوں کو بلیک میل کرنے کے لیے بھیجا گیا تھا۔","Fake"
"وفاقی وزیر صحت سید مصطفیٰ کمال نے نرسنگ اینڈ مڈوائفری کونسل بل سینیٹ میں پیش کیا۔","Real"
"بلاول بھٹو نے بجٹ کے معاملے پر مذاکرات کے لیے پیپلز پارٹی کی چار رکنی ٹیم تشکیل دینے کا اعلان کیا۔","Real"
"اسرائیل کے جرائم پر امریکا کا تائیوان کی پالیسی نہیں بدلی کا بیان منافقت کی انتہا ہے۔","Bias"
"پاکستانی یونیورسٹیاں تعلیم کا کاروبار بن گئی ہیں اور حکومت طلباء کو لوٹ رہی ہے۔","Bias"
"انمول پنکی کی گرفتاری کے بعد کراچی میں منشیات کی سپلائی مکمل بند ہو گئی ہے۔","Fake"
"وزارت تعلیم نے سینیٹ کو بتایا کہ ملک کی 163 سرکاری یونیورسٹیوں میں سے 23 مستقل وائس چانسلر کے بغیر چل رہی ہیں۔","Real"
"جیکب آباد میں پولیس نے ٹرک سے 55 کلو چرس برآمد کی تاہم ملزمان فرار ہو گئے۔","Real"
"ممبئی پولیس نے مسلم ملزم کو جلدی گرفتار کیا کیونکہ متاثرہ بااثر ہے۔","Bias"
"پی ٹی آئی رکن قومی اسمبلی عادل خان بازئی نے ایوان میں انکشاف کیا کہ ڈپٹی کمشنر کوئٹہ نے انہیں ایک لڑکی کا نمبر بھیجا۔","Real"
"مولانا ادریس قتل کیس میں 7 اہم ملزمان کو مردان ریجن سے گرفتار کیا گیا۔","Real"
"جاوید جعفری جیسے امیر لوگ پولیس کی مدد سے دوسروں سے پیسے ٹھگتے ہیں اور کوئی پوچھتا نہیں۔","Bias"
"سندھ ہائیکورٹ نے پی آئی اے کے ریٹائرڈ ملازمین کو 10 کروڑ روپے معاوضے کا حکم دیا۔","Fake"
"پاکستانی تعلیمی نظام کی تباہی کا ثبوت یہ ہے کہ 23 یونیورسٹیاں وائس چانسلر کے بغیر چل رہی ہیں۔","Bias"
"سندھ میں پیپلز پارٹی کی حکومت منشیات مافیا کی سرپرست ہے ورنہ پنکی پہلے ہی پکڑی جاتی۔","Bias"
"انمول پنکی کی گرفتاری کے دوران پولیس کے 5 افسر ہلاک ہو گئے۔","Fake"
"بلاول بھٹو نے کہا کہ بجٹ کی منظوری کے لیے حکومت کو پیپلز پارٹی کو اعتماد میں لینا ہوگا۔","Real"
"بھارتی سیاحوں کی تعداد پاکستان سے زیادہ ہونا ثابت کرتا ہے کہ پاکستانیوں کا کوئی مستقبل نہیں۔","Bias"
"فیصل آباد میں سگے باپ کو اپنی 12 سالہ بیٹی سے 6 ماہ تک زیادتی کے الزام میں گرفتار کیا گیا۔","Real"
"جیکب آباد آتشزدگی کیس میں پولیس نے 5 ملزمان کو مختلف مقامات پر چھاپے مار کر گرفتار کیا۔","Real"
"رانا ثناء اللہ نے خفیہ طور پر پی ٹی آئی میں شمولیت کا فیصلہ کر لیا۔","Fake"
"بھارت میں ارباز خان کی لاش آج تک نہیں ملی۔","Fake"
"مولانا ادریس کو حکومتی ایجنٹوں نے قتل کروایا تھا کیونکہ وہ ایک بڑی سازش کو بے نقاب کرنے والے تھے۔","Fake"
"سعودی عرب کی بزدلانہ مذمت سے اسرائیل کی بڑھتی ہوئی جارحیت کو کوئی فرق نہیں پڑا۔","Bias"
"پنکی کے موبائل سے 869 کانٹیکٹس ملے جن میں سے 639 نمبرز کی لوکیشن ٹریس کر لی گئی۔","Real"
"رانا ثناء اللہ نے خفیہ ملاقات میں اسد قیصر کو حکومت میں شامل کرنے کی پیشکش کی۔","Fake"
"سندھ حکومت نے پنکی کے مقدمے کو دبانے کے لیے 50 کروڑ روپے کی رشوت دی۔","Fake"
"فیضان علی نے کال سینٹر کیس میں این سی سی آئی اے کی چھاپہ مار کارروائی میں 41 افراد کی حراست کی تصدیق کی۔","Real"
"سینیٹ کی کارروائی محض وقت ضائع کرنے کا ذریعہ بن گئی ہے کیونکہ اراکین سنجیدہ نہیں ہیں۔","Bias"
"موٹرویز سے 71 ارب روپے کی آمدنی ایم ٹیگ فراڈ کے ذریعے ہوئی۔","Fake"
"ٹرمپ کا تائیوان والا بیان صرف چین کو خوش کرنے کے لیے دیا گیا اور تائیوان کا حق مارا گیا۔","Bias"
"پاکستان ٹورازم فاؤنڈیشن کی سفارشات خوابوں کی باتیں ہیں جو کبھی نافذ نہیں ہوں گی۔","Bias"
"جیکب آباد کے وڈیرے قانون کے اوپر ہیں اور سرکار ان کے سامنے بے بس ہے۔","Bias"
"حکومت کی نااہلی کی وجہ سے جیکب آباد کے ہزاروں بے گھر شہری آسمان تلے ٹھٹھر رہے ہیں۔","Bias"
"سینیٹر اعظم سواتی نے سینیٹ چھوڑنے کا اعلان کر دیا۔","Fake"
"عادل خان بازئی نے ڈپٹی کمشنر کوئٹہ کے خلاف مقدمہ درج کرا دیا اور ڈی سی گرفتار ہو گئے۔","Fake"
"پنکی کے گاہکوں میں فوج کے چار اعلیٰ جرنیل شامل ہیں جن کے نام پولیس کو معلوم ہیں۔","Fake"
"کراچی میں کال سینٹر فراڈ میں پکڑے گئے ملزمان نے ہزاروں غیر ملکی شہریوں سے 100 ارب روپے ٹھگے۔","Fake"
"موٹرویز کا منافع صرف حکومتی چہیتوں کی جیبوں میں جاتا ہے اور عوام کو فائدہ نہیں ہوتا۔","Bias"
"چارسدہ میں 5 مئی کو نامعلوم دہشتگردوں نے مولانا شیخ ادریس کو فائرنگ کر کے شہید کر دیا۔","Real"
